customer_id,customer_name,industry,total_shipments,total_weight_lbs,total_freight_cost,avg_cost_per_shipment,avg_cost_per_lb,delivered_count,on_time_pct,delayed_count,cancelled_count,damage_claims,total_damage_cost,transport_modes_used
C003,FreshHarvest Foods,Food & Beverage,168,11022971.2,661746.61,3938.97,0.06,97,100.0,19,21,7,20327.18,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
C004,MedSupply Corp,Healthcare,150,11844474.9,630345.11,4202.3,0.0532,87,100.0,26,17,1,4607.8,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
C005,BuildRight Materials,Construction,146,10708740.1,618877.39,4238.89,0.0578,84,100.0,25,17,1,2943.95,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
C014,AutoParts Direct,Automotive,152,12452280.5,614751.9,4044.42,0.0494,78,100.0,16,27,2,7149.1,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
C007,TextileWorld Inc,Textiles,121,12565732.9,613527.47,5070.47,0.0488,63,100.0,19,17,2,8608.04,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
C009,AgroFarm Supplies,Agriculture,132,11269030.1,559112.71,4235.7,0.0496,85,100.0,17,16,2,5079.47,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
C002,GlobalTech Solutions,Electronics,131,10306488.6,548065.47,4183.71,0.0532,77,100.0,17,19,6,10571.05,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
C001,Acme Manufacturing,Automotive,136,10109744.3,536570.12,3945.37,0.0531,82,100.0,19,16,4,7910.11,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
C012,EnergyFlow Corp,Energy,130,9811838.0,504719.82,3882.46,0.0514,70,100.0,24,15,5,10989.95,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
C010,QuickRetail Group,Retail,127,8537307.7,478430.33,3767.17,0.056,66,100.0,21,18,0,0,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
C013,PharmaDist Inc,Pharmaceuticals,113,8741414.8,448354.52,3967.74,0.0513,60,100.0,16,19,2,5661.55,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
C011,PackLogic Systems,Packaging,135,8512292.2,446861.43,3310.08,0.0525,75,100.0,22,19,5,11360.85,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
C006,PetroChem Industries,Chemicals,124,8613040.6,446675.13,3602.22,0.0519,73,100.0,21,12,4,7277.3,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
C015,ColdChain Express,Food & Beverage,128,7553278.4,421180.93,3290.48,0.0558,73,100.0,18,16,2,7969.51,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
C008,SteelForge Ltd,Metals,107,7980518.3,404901.36,3784.12,0.0507,63,100.0,15,14,4,8411.1,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
