origin,destination,origin_region,destination_region,shipment_count,total_weight_lbs,total_freight_cost,avg_cost_per_shipment,avg_transit_days,on_time_pct,num_carriers,transport_modes
"Seattle, WA","New York, NY",US-West,US-East,25,1680295.3,102656.66,4106.27,8.5,100.0,9,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Chicago, IL","Portland, OR",US-Midwest,US-West,25,2223181.5,102360.03,4094.4,11.2,100.0,10,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Los Angeles, CA","Miami, FL",US-West,US-South,23,1264435.2,85669.58,3724.76,8.7,100.0,10,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Chicago, IL","Toronto, ON",US-Midwest,Canada,23,1899186.2,97767.22,4250.75,10.8,100.0,9,"Air Freight, Intermodal, Ocean, Rail, Truck (LTL)"
"Atlanta, GA","Portland, OR",US-South,US-West,22,2575521.7,114544.54,5206.57,11.4,100.0,9,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Louisville, KY","Minneapolis, MN",US-East,US-Midwest,21,1244360.1,82933.11,3949.2,7.8,100.0,9,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Louisville, KY","Monterrey, MX",US-East,Mexico,21,1445455.1,93107.27,4433.68,7.9,100.0,10,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Memphis, TN","Detroit, MI",US-South,US-Midwest,20,1971310.1,88585.54,4429.28,11.4,100.0,8,"Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Chicago, IL","Minneapolis, MN",US-Midwest,US-Midwest,19,1124911.5,61233.79,3222.83,9.0,100.0,9,"Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Memphis, TN","Miami, FL",US-South,US-South,19,1106908.6,48044.42,2528.65,9.0,100.0,7,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Dallas, TX","Boston, MA",US-South,US-East,19,1834295.2,63131.74,3322.72,14.4,100.0,8,"Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Columbus, OH","Portland, OR",US-Midwest,US-West,19,815128.5,46960.74,2471.62,12.2,100.0,8,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Dallas, TX","Detroit, MI",US-South,US-Midwest,18,1945817.4,90668.9,5037.16,12.6,100.0,8,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Los Angeles, CA","San Francisco, CA",US-West,US-West,18,1311236.8,71899.76,3994.43,8.8,100.0,8,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL)"
"Memphis, TN","San Francisco, CA",US-South,US-West,18,829240.3,74231.01,4123.94,8.3,100.0,9,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Chicago, IL","Phoenix, AZ",US-Midwest,US-West,18,935971.4,55119.82,3062.21,8.7,100.0,10,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Los Angeles, CA","Denver, CO",US-West,US-West,17,797689.6,65745.62,3867.39,9.0,100.0,8,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Chicago, IL","Detroit, MI",US-Midwest,US-Midwest,17,1393569.2,80910.01,4759.41,8.8,100.0,8,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL)"
"Louisville, KY","Detroit, MI",US-East,US-Midwest,17,766777.4,49513.52,2912.56,9.4,100.0,8,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Houston, TX","Monterrey, MX",US-South,Mexico,17,1259493.3,55883.42,3287.26,8.7,100.0,8,"Air Freight, Intermodal, Ocean, Truck (FTL), Truck (LTL)"
"Atlanta, GA","Detroit, MI",US-South,US-Midwest,17,1251288.5,53643.43,3155.5,8.6,100.0,7,"Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Dallas, TX","Miami, FL",US-South,US-South,17,501268.0,39797.87,2341.05,9.8,100.0,8,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Houston, TX","Vancouver, BC",US-South,Canada,17,1372853.3,52783.88,3104.93,12.6,100.0,8,"Air Freight, Intermodal, Ocean, Truck (FTL), Truck (LTL)"
"Dallas, TX","Denver, CO",US-South,US-West,17,1131778.2,65204.49,3835.56,9.5,100.0,8,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Columbus, OH","Minneapolis, MN",US-Midwest,US-Midwest,17,1730377.8,68873.46,4051.38,10.6,100.0,7,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Memphis, TN","Monterrey, MX",US-South,Mexico,17,592161.9,47397.99,2788.12,7.9,100.0,7,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Columbus, OH","Monterrey, MX",US-Midwest,Mexico,17,1654123.2,81735.19,4807.95,14.3,100.0,8,"Air Freight, Intermodal, Ocean, Truck (FTL), Truck (LTL)"
